date,provider,account_id,region,availability_zone,environment,team,department,project,tags,service,resource_id,resource_name,resource_type,instance_type,usage_quantity,usage_unit,usage_hours,avg_cpu_utilization,storage_gb,currency,cost,list_cost,discount,billing_period_start,billing_period_end
2026-04-23,AWS,622524651020,us-east-1,us-east-1c,test,DevOps,Engineering,Internal Tools,team=DevOps;project=Internal Tools;environment=test;department=Engineering,S3,i-a097db097e8a4e459,security-scanner-000,Storage,gp3,1127.97,GB-month,15.31,10.49,1127.97,USD,0.6183,0.8389,0.2206,2026-04-01,2026-04-30
2026-04-23,AWS,969508288813,ap-southeast-1,ap-southeast-1a,prod,Finance,Finance,Internal Tools,team=Finance;project=Internal Tools;environment=prod;department=Finance,Lambda,i-00521575d70e4c778,prod-web-gateway-052,Serverless,serverless,776108.0,requests,0.0,55.54,0.0,USD,61.1343,64.873,3.7387,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-266071,asia-south1,asia-south1c,staging,Data,Data & Analytics,Reporting,team=Data;project=Reporting;environment=staging;department=Data & Analytics,Cloud Functions,gcp-fb0dd8016a19,staging-cache-072,Serverless,serverless,2368452.0,requests,22.39,11.21,0.0,USD,81.9568,99.2805,17.3237,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-901909,asia-south1,asia-south1c,staging,Customer Success,,Customer API,team=Customer Success;project=Customer API;environment=staging,Cloud Functions,gcp-80faa750494f,staging-api-02-066,Serverless,serverless,589393.0,requests,0.0,66.39,0.0,USD,52.1976,63.0418,10.8442,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-945742,us-east1,us-east1c,prod,,,,,Compute Engine,gcp-ba75dacf762a,prod-payment-service-031,Compute,n2-standard-16,14.02,hours,14.02,19.68,0.0,USD,9.8361,11.2525,1.4164,2026-04-01,2026-04-30
2026-04-23,AWS,506568138339,ap-southeast-1,ap-southeast-1a,prod,Security,,,team=Security;environment=prod,ECS,i-13e1d940e79b4a76a,batch-processing-worker-047,Container,t3.medium,12.71,vCPU-hours,12.71,48.33,0.0,USD,0.5363,0.544,0.0077,2026-04-01,2026-04-30
2026-04-23,Azure,ffbe7533-79f3-4a84-aedb-1a117884e4fb,centralindia,centralindia-az3,prod,Analytics,Data & Analytics,Recommendation Engine,team=Analytics;project=Recommendation Engine;environment=prod;department=Data & Analytics,Blob Storage,/subscriptions/76053b55/vm-53323bed,backup-storage-015,Storage,StandardSSD,1116.82,GB-month,23.21,3.81,1116.82,USD,0.6769,0.7023,0.0254,2026-04-01,2026-04-30
2026-04-23,AWS,539425475482,us-west-2,us-west-2c,test,,Data & Analytics,,environment=test;department=Data & Analytics,ECS,i-74ffa881972a47d38,test-runner-01-001,Container,r5.large,13.17,vCPU-hours,13.17,51.09,0.0,USD,1.4646,1.5792,0.1146,2026-04-01,2026-04-30
2026-04-23,Azure,3e63c5fd-ca33-43c3-896f-e3aeedb1927b,eastus,eastus-az2,prod,Customer Success,Operations,Customer API,team=Customer Success;project=Customer API;environment=prod;department=Operations,Azure Kubernetes Service,/subscriptions/5603783b/vm-6eabada3,prod-cache-cluster-013,Container,E8s_v5,12.78,vCPU-hours,12.78,61.06,0.0,USD,5.7548,6.7476,0.9928,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-223172,us-central1,us-central1a,staging,,Engineering,,environment=staging;department=Engineering,Cloud Storage,gcp-cd34bd521613,recommendation-worker-073,Storage,standard,2022.91,GB-month,16.32,58.54,2022.91,USD,1.1796,1.3574,0.1778,2026-04-01,2026-04-30
2026-04-23,Azure,d6e93366-318e-48dd-b9a7-5da6f6c31def,westus2,westus2-az3,prod,,,,,Azure Kubernetes Service,/subscriptions/cbade407/vm-91f14de5,prod-web-gateway-035,Container,D4as_v5,22.2,vCPU-hours,22.2,2.19,0.0,USD,3.5765,4.37,0.7935,2026-04-01,2026-04-30
2026-04-23,Azure,ee54536e-21b0-4d1d-84c9-24e85ac5961b,westus2,westus2-az2,staging,QA,Engineering,Testing Platform,team=QA;project=Testing Platform;environment=staging;department=Engineering,Azure Functions,/subscriptions/8413e3ef/vm-5a3f0977,staging-web-01-012,Serverless,serverless,2536679.0,requests,0.0,70.79,0.0,USD,161.0727,208.6802,47.6075,2026-04-01,2026-04-30
2026-04-23,AWS,203484341332,us-west-2,us-west-2b,staging,QA,Engineering,Testing Platform,team=QA;project=Testing Platform;environment=staging;department=Engineering,DynamoDB,i-62965f184d8f4c80a,analytics-cluster-004,Database,m5.8xlarge,13.56,hours,13.56,14.1,0.0,USD,17.0909,23.1687,6.0778,2026-04-01,2026-04-30
2026-04-23,Azure,3c8d6dae-985a-44a1-a5cb-6e1077af40de,westus2,westus2-az2,prod,Platform,Engineering,Web Portal,team=Platform;project=Web Portal;environment=prod;department=Engineering,Virtual Machines,/subscriptions/8bb44b80/vm-18217db3,reporting-db-056,Compute,E8s_v5,12.85,hours,12.85,66.29,0.0,USD,4.5722,6.4781,1.9059,2026-04-01,2026-04-30
2026-04-23,AWS,747357163267,us-west-2,us-west-2a,test,Finance,Finance,Internal Tools,team=Finance;project=Internal Tools;environment=test;department=Finance,DynamoDB,i-ff4c1a78aa7943fb8,test-integration-db-055,Database,m5.2xlarge,19.44,hours,19.44,6.48,0.0,USD,6.5898,8.3383,1.7485,2026-04-01,2026-04-30
2026-04-23,Azure,a444434d-6806-4b63-b62d-c8995db7e781,centralindia,centralindia-az2,prod,Marketing,Marketing,Marketing Platform,team=Marketing;project=Marketing Platform;environment=prod;department=Marketing,Azure Kubernetes Service,/subscriptions/cbd300ce/vm-7d52b7c3,log-aggregator-051,Container,B2s,14.62,vCPU-hours,14.62,53.14,0.0,USD,0.3791,0.6028,0.2237,2026-04-01,2026-04-30
2026-04-23,Azure,240d196a-8da0-487a-9e5b-766bfc6d0f61,eastus,eastus-az1,prod,Customer Success,Operations,Internal Tools,team=Customer Success;project=Internal Tools;environment=prod;department=Operations,Azure SQL Database,/subscriptions/ae690497/vm-91ce0ec1,reporting-db-057,Database,D32s_v5,16.29,hours,16.29,19.25,0.0,USD,21.0771,27.8319,6.7548,2026-04-01,2026-04-30
2026-04-23,AWS,188080452706,us-east-1,us-east-1c,dev,,,Reporting,project=Reporting;environment=dev,RDS,i-753f5604479644d59,dev-test-server-010,Database,m5.2xlarge,6.82,hours,6.82,48.02,0.0,USD,1.9209,2.6076,0.6867,2026-04-01,2026-04-30
2026-04-23,Azure,af98c2b0-d259-46a9-a7cb-81f5426fa773,westeurope,westeurope-az2,prod,,,,,Azure Kubernetes Service,/subscriptions/4af3c5e5/vm-e1766fbe,reporting-db-039,Container,D4s_v5,23.03,vCPU-hours,23.03,2.78,0.0,USD,3.6553,4.6733,1.018,2026-04-01,2026-04-30
2026-04-23,AWS,443445860556,ap-southeast-1,ap-southeast-1c,prod,,Engineering,Mobile Backend,project=Mobile Backend;environment=prod;department=Engineering,EC2,i-5c59fc4bb2a74dda9,batch-processing-worker-045,Compute,r5.large,8.53,hours,8.53,49.23,0.0,USD,0.8631,1.0909,0.2278,2026-04-01,2026-04-30
2026-04-23,Azure,453e9ea0-1a48-4f93-89fa-d45813568059,northeurope,northeurope-az2,dev,Marketing,Marketing,Marketing Platform,team=Marketing;project=Marketing Platform;environment=dev;department=Marketing,Azure Functions,/subscriptions/94d066d5/vm-662e965a,log-aggregator-075,Serverless,serverless,1878497.0,requests,0.0,73.13,0.0,USD,46.5419,58.84,12.2981,2026-04-01,2026-04-30
2026-04-23,AWS,781047077731,eu-west-1,eu-west-1c,prod,QA,Engineering,Dev Platform,team=QA;project=Dev Platform;environment=prod;department=Engineering,RDS,i-2435850844344be2a,prod-web-gateway-060,Database,m5.xlarge,22.96,hours,22.96,64.6,0.0,USD,19.0543,20.4758,1.4215,2026-04-01,2026-04-30
2026-04-23,Azure,15a9dca0-8220-4aea-9748-292f4b3191eb,centralindia,centralindia-az2,staging,Finance,Finance,Reporting,team=Finance;project=Reporting;environment=staging;department=Finance,Azure Functions,/subscriptions/5b87a0c6/vm-935108c2,data-lake-ingest-062,Serverless,serverless,636513.0,requests,23.04,0.5,0.0,USD,27.1659,29.6064,2.4405,2026-04-01,2026-04-30
2026-04-23,AWS,283498961791,us-east-1,us-east-1b,dev,Security,Security,Backup Platform,team=Security;project=Backup Platform;environment=dev;department=Security,RDS,i-43f436a5c8534955a,analytics-cluster-040,Database,c5.4xlarge,16.85,hours,16.85,25.92,0.0,USD,11.7594,11.857,0.0976,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-290672,europe-west1,europe-west1a,prod,,Finance,Internal Tools,project=Internal Tools;environment=prod;department=Finance,Cloud Load Balancing,gcp-f1f83687550e,marketing-cdn-050,Network,n2-highcpu-4,6427.5,GB,14.1,61.12,0.0,USD,468.3372,616.7559,148.4187,2026-04-01,2026-04-30
2026-04-23,AWS,731678373015,us-east-1,us-east-1a,staging,QA,Engineering,Dev Platform,team=QA;project=Dev Platform;environment=staging;department=Engineering,EC2,i-63406f6cd8b94a84a,batch-processing-worker-058,Compute,t3.micro,24.0,hours,24.0,55.35,0.0,USD,0.4103,0.5,0.0897,2026-04-01,2026-04-30
2026-04-23,,gcp-proj-102260,europe-west4,europe-west4a,test,DevOps,Engineering,Backup Platform,team=DevOps;project=Backup Platform;environment=test;department=Engineering,Cloud Functions,gcp-f15331c96c0c,log-aggregator-008,Serverless,serverless,2556115.0,requests,0.0,45.3,0.0,USD,170.0073,185.871,15.8637,2026-04-01,2026-04-30
2026-04-23,AWS,546688090938,us-west-2,us-west-2c,prod,Engineering,Engineering,Mobile Backend,team=Engineering;project=Mobile Backend;environment=prod;department=Engineering,Redshift,i-8bd44b7d36154db79,prod-core-db-061,Analytics,c5.2xlarge,13.57,vCPU-hours,13.57,5.0,0.0,USD,3.1953,5.1667,1.9714,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-142213,europe-west1,europe-west1a,dev,Engineering,Engineering,Customer API,team=Engineering;project=Customer API;environment=dev;department=Engineering,GKE,gcp-8b5116dffeb0,data-lake-ingest-043,Container,e2-small,13.23,vCPU-hours,13.23,73.86,0.0,USD,0.4883,0.5,0.0117,2026-04-01,2026-04-30
2026-04-23,AWS,608002483225,eu-central-1,eu-central-1a,staging,QA,Engineering,Testing Platform,team=QA;project=Testing Platform;environment=staging;department=Engineering,EBS,i-4a797322816946efb,staging-web-01-006,Storage,gp3,3549.34,GB-month,22.63,12.43,3549.34,USD,8.664,9.4476,0.7836,2026-04-01,2026-04-30
2026-04-23,AWS,725413874351,us-west-2,us-west-2b,dev,QA,Engineering,Testing Platform,team=QA;project=Testing Platform;environment=dev;department=Engineering,Lambda,i-0a0109aad95c4b179,dev-test-server-028,Serverless,serverless,3687946.0,requests,22.28,13.25,0.0,USD,177.2098,200.0393,22.8295,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-290305,europe-west4,europe-west4c,test,Finance,Finance,Internal Tools,team=Finance;project=Internal Tools;environment=test;department=Finance,BigQuery,gcp-525ddbdb981b,log-aggregator-067,Analytics,n2-highmem-8,15.71,vCPU-hours,15.71,69.82,0.0,USD,8.296,8.3229,0.0269,2026-04-01,2026-04-30
2026-04-23,AWS,707623027059,eu-west-1,eu-west-1c,prod,Customer Success,Operations,Internal Tools,team=Customer Success;project=Internal Tools;environment=prod;department=Operations,S3,i-d9533fe0dc0240708,prod-cache-cluster-053,Storage,gp3,12236.53,GB-month,11.97,56.42,12236.53,USD,49.2838,57.2916,8.0078,2026-04-01,2026-04-30
2026-04-23,Azure,c2d3e9dd-a195-4fe1-bd0e-e8346d5e6456,centralindia,centralindia-az1,dev,Security,Security,Backup Platform,team=Security;project=Backup Platform;environment=dev;department=Security,Blob Storage,/subscriptions/43660fce/vm-c9a6ca88,dev-sandbox-01-020,Storage,StandardSSD,3694.53,GB-month,22.78,6.97,3694.53,USD,2.1225,2.194,0.0715,2026-04-01,2026-04-30
2026-04-23,AWS,214547351220,eu-west-1,eu-west-1b,dev,Security,,,team=Security;environment=dev,ECS,i-69321e40162b4eabb,dev-db-scratch-068,Container,r5.large,20.05,vCPU-hours,20.05,49.49,0.0,USD,1.7575,2.5643,0.8068,2026-04-01,2026-04-30
2026-04-23,GCP,gcp-proj-233636,asia-southeast1,asia-southeast1c,prod,DevOps,Engineering,Backup Platform,team=DevOps;project=Backup Platform;environment=prod;department=Engineering,Cloud Load Balancing,gcp-16ce608e5737,prod-web-gateway-019,Network,n2-standard-2,6723.37,GB,13.46,62.34,0.0,USD,371.0044,420.4218,49.4174,2026-04-01,2026-04-30
