date,provider,account_id,service,resource_id,resource_name,resource_type,region,availability_zone,environment,team,project,instance_type,usage_hours,avg_cpu_utilization,storage_gb,usage_quantity,usage_unit,currency,list_cost,discount,cost,billing_period_start,billing_period_end,tags
2026-04-22,AWS,aws-prod-001,EC2,i-prod-web-01,Production Web Server 1,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.large,20.1,59.7,,20.1,hours,USD,2.26,0.24,2.02,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,AWS,aws-prod-001,EC2,i-prod-web-02,Production Web Server 2,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.large,22.9,45.6,,22.9,hours,USD,2.42,0.26,2.16,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,AWS,aws-prod-001,EC2,i-prod-api-01,API Gateway Server,compute,us-east-1,us-east-1a,production,Platform,Customer Portal,m5.xlarge,20.3,68.3,,20.3,hours,USD,4.65,0.5,4.15,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,AWS,aws-prod-001,RDS,db-prod-main,Primary Production DB,database,us-east-1,,production,Platform,Customer Portal,db.r5.xlarge,0.0,39.0,,5.73,requests,USD,6.42,0.69,5.73,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,AWS,aws-prod-001,S3,s3-prod-assets,Production Assets Bucket,storage,us-east-1,,production,Platform,Customer Portal,,0.0,,2500,0.8,GB-month,USD,0.9,0.1,0.8,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=production
2026-04-22,AWS,aws-staging-002,EC2,i-staging-test,Staging Test Instance,compute,us-east-1,us-east-1a,staging,Platform,Customer Portal,m5.large,24.0,0.6,,24.0,hours,USD,2.24,0.24,2.0,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=staging
2026-04-22,AWS,aws-prod-001,EC2,i-old-batch-job,Legacy Batch Processor,compute,us-west-2,us-west-2a,production,Analytics,Data Pipeline,c5.4xlarge,24.0,3.1,,24.0,hours,USD,18.05,1.93,16.12,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-22,AWS,aws-prod-001,RDS,db-legacy-archive,Legacy Archive DB,database,us-east-1,,production,Analytics,Data Pipeline,db.t3.medium,0.0,1.4,,1.83,requests,USD,2.05,0.22,1.83,2026-04-01,2026-04-30,team=Analytics;project=Data Pipeline;environment=production
2026-04-22,AWS,aws-prod-001,EC2,i-analytics-01,Analytics Server,compute,us-west-2,us-west-2a,production,Analytics,Customer Analytics,m5.2xlarge,22.0,25.5,,22.0,hours,USD,9.87,1.06,8.81,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-22,AWS,aws-prod-001,RDS,db-reporting,Reporting Database,database,us-east-1,,production,Analytics,Customer Analytics,db.m5.large,0.0,24.1,,3.51,requests,USD,3.93,0.42,3.51,2026-04-01,2026-04-30,team=Analytics;project=Customer Analytics;environment=production
2026-04-22,AWS,aws-dev-003,EC2,i-dev-sandbox,Developer Sandbox,compute,us-east-1,us-east-1a,development,Platform,Customer Portal,t3.medium,24.0,7.3,,24.0,hours,USD,1.09,0.12,0.97,2026-04-01,2026-04-30,team=Platform;project=Customer Portal;environment=development
