date,service,resource_id,instance_type,usage_hours,avg_cpu_utilization,storage_gb,cost
2026-07-01,EC2,i-web-01,m5.large,24,72.5,,2.18
2026-07-01,EC2,i-web-02,m5.large,24,68.4,,2.18
2026-07-01,EC2,i-idle-01,m5.xlarge,24,2.1,,4.21
2026-07-01,EC2,i-api-01,c5.large,24,61.2,,2.04
2026-07-01,EC2,i-batch-01,c5.4xlarge,24,3.2,,17.90
2026-07-01,RDS,db-prod,db.r5.large,24,64.5,,3.90
2026-07-01,RDS,db-reporting,db.m5.large,24,15.8,,3.45
2026-07-01,RDS,db-legacy,db.t3.medium,24,2.8,,1.85
2026-07-01,S3,s3-main,,, ,850,32.40
2026-07-01,S3,s3-backup,,, ,420,18.90
2026-07-01,S3,s3-archive,,, ,1200,42.60
2026-07-02,EC2,i-web-01,m5.large,24,70.8,,2.18
2026-07-02,EC2,i-web-02,m5.large,24,66.2,,2.18
2026-07-02,EC2,i-idle-01,m5.xlarge,24,1.9,,4.21
2026-07-02,EC2,i-api-01,c5.large,24,59.8,,2.04
2026-07-02,EC2,i-batch-01,c5.4xlarge,24,2.9,,17.90
2026-07-02,RDS,db-prod,db.r5.large,24,62.8,,3.90
2026-07-02,RDS,db-reporting,db.m5.large,24,16.4,,3.45
2026-07-02,RDS,db-legacy,db.t3.medium,24,2.5,,1.85
2026-07-02,S3,s3-main,,, ,850,32.40
2026-07-02,S3,s3-backup,,, ,420,18.90
2026-07-02,S3,s3-archive,,, ,1200,42.60
2026-07-03,EC2,i-web-01,m5.large,24,74.1,,2.18
2026-07-03,EC2,i-web-02,m5.large,24,71.3,,2.18
2026-07-03,EC2,i-idle-01,m5.xlarge,24,2.3,,4.21
2026-07-03,EC2,i-api-01,c5.large,24,63.7,,2.04
2026-07-03,EC2,i-batch-01,c5.4xlarge,24,3.5,,17.90
2026-07-03,RDS,db-prod,db.r5.large,24,67.2,,3.90
2026-07-03,RDS,db-reporting,db.m5.large,24,17.1,,3.45
2026-07-03,RDS,db-legacy,db.t3.medium,24,2.7,,1.85
2026-07-03,S3,s3-main,,, ,850,32.40
2026-07-03,S3,s3-backup,,, ,420,18.90
2026-07-03,S3,s3-archive,,, ,1200,42.60
2026-07-04,EC2,i-web-01,m5.large,24,69.7,,2.18
2026-07-04,EC2,i-web-02,m5.large,24,73.6,,2.18
2026-07-04,EC2,i-idle-01,m5.xlarge,24,1.7,,4.21
2026-07-04,EC2,i-api-01,c5.large,24,60.5,,2.04
2026-07-04,EC2,i-batch-01,c5.4xlarge,24,2.6,,17.90
2026-07-04,RDS,db-prod,db.r5.large,24,65.9,,3.90
2026-07-04,RDS,db-reporting,db.m5.large,24,14.9,,3.45
2026-07-04,RDS,db-legacy,db.t3.medium,24,2.2,,1.85
2026-07-04,S3,s3-main,,, ,850,32.40
2026-07-04,S3,s3-backup,,, ,420,18.90
2026-07-04,S3,s3-archive,,, ,1200,42.60
2026-07-05,EC2,i-web-01,m5.large,24,76.3,,2.18
2026-07-05,EC2,i-web-02,m5.large,24,70.5,,2.18
2026-07-05,EC2,i-idle-01,m5.xlarge,24,2.0,,4.21
2026-07-05,EC2,i-api-01,c5.large,24,64.8,,2.04
2026-07-05,EC2,i-batch-01,c5.4xlarge,24,3.1,,17.90
2026-07-05,RDS,db-prod,db.r5.large,24,68.7,,3.90
2026-07-05,RDS,db-reporting,db.m5.large,24,16.2,,3.45
2026-07-05,RDS,db-legacy,db.t3.medium,24,2.4,,1.85
2026-07-05,S3,s3-main,,, ,850,32.40
2026-07-05,S3,s3-backup,,, ,420,18.90
2026-07-05,S3,s3-archive,,, ,1200,42.60
